Gender,Age,Preferences,mobile_phone,Hours,Comm_teacher,Influence_lifestyle,Academic_performance
0,18,5,0,1,1,0,0
1,21,1,0,2,0,1,1
0,19,1,0,3,1,0,1
0,23,3,0,3,0,0,1
0,19,2,0,4,1,1,0
1,21,1,0,5,1,0,1
0,21,0,0,3,1,0,1
1,23,1,0,2,1,0,0
1,23,5,0,3,1,0,0
1,24,5,0,4,1,0,0
1,15,5,0,5,1,1,0
1,24,5,0,2,1,0,1
1,24,0,0,4,0,0,0
0,21,1,0,5,1,1,1
1,17,5,0,3,1,0,0
0,21,5,1,4,1,0,0
1,24,0,0,5,1,0,0
1,21,5,0,6,1,0,0
0,21,5,0,4,1,0,1
0,24,1,0,2,0,0,1
0,21,4,0,5,1,1,1
1,21,4,0,6,1,1,0
0,22,2,0,7,1,0,0
1,23,2,0,4,1,1,0
1,24,5,0,2,0,0,0
1,19,1,0,3,1,0,0
1,21,0,0,4,0,0,1
0,22,5,0,5,1,1,0
1,24,1,0,3,1,0,0
0,20,5,0,4,1,0,0
1,23,5,0,5,1,1,1
1,25,5,0,6,1,0,0
0,26,1,0,4,1,1,0
1,27,5,0,3,1,0,0
0,29,1,0,2,1,1,0
1,21,5,0,3,1,0,0
1,22,5,0,4,1,1,0
0,20,5,0,2,1,0,0
1,20,0,0,3,1,0,0
0,21,5,0,4,1,0,0
0,19,3,0,2,1,0,0
1,20,3,0,3,1,0,1
0,21,3,0,4,1,1,0
0,22,5,0,5,0,0,0
1,19,1,0,3,1,0,1
0,18,5,0,4,1,0,0
0,20,5,0,5,1,0,1
1,23,5,0,6,1,0,0
0,21,1,0,4,1,1,0
1,20,5,0,3,0,0,1
1,21,1,0,2,1,0,0
1,22,5,0,3,1,0,0
0,23,5,0,4,1,0,0
0,24,1,0,5,1,0,0
0,25,1,1,6,1,0,0
1,26,0,0,4,1,0,0
1,28,3,0,3,0,1,0
0,29,1,0,4,1,0,0
0,20,5,0,5,0,0,0
1,21,0,0,6,1,0,0
1,23,1,0,4,0,1,0
0,21,5,1,3,1,1,0
1,22,3,0,4,1,0,0
0,23,1,0,4,1,0,0
0,24,5,0,5,1,0,0
1,25,3,0,6,1,0,0
1,26,2,0,4,1,1,0
0,27,1,0,4,1,1,0
1,28,3,0,3,1,0,0
1,30,0,0,4,1,0,0
1,21,5,0,5,1,1,0
0,22,1,0,6,1,0,0
1,24,5,0,4,1,0,1
1,25,0,0,3,0,1,0
0,26,5,1,4,0,0,0
0,27,1,1,5,1,0,1
1,28,1,1,3,1,0,0
0,30,1,0,3,0,1,1
1,21,5,0,2,1,1,1
1,22,1,0,3,1,0,0
1,23,4,0,4,0,1,0
1,24,5,0,2,1,0,0
1,25,5,0,3,1,0,0
1,26,1,0,4,1,0,0
1,23,1,0,5,1,1,1
1,22,3,0,1,1,0,1
1,19,1,0,1,1,1,0
0,20,5,0,3,1,1,0
1,21,0,1,4,1,0,1
1,23,0,0,5,1,1,0
1,24,0,0,4,1,0,0
0,25,1,0,3,1,0,0
0,26,5,0,2,1,0,0
0,22,5,0,3,1,0,1
1,20,5,0,4,0,1,1
1,19,0,0,5,1,0,0
1,18,1,0,4,0,0,0
1,21,2,0,3,1,0,0
1,22,2,0,2,1,0,0
1,20,1,0,3,1,1,0
1,21,5,0,4,1,1,0
0,20,1,0,5,1,1,0
1,19,5,0,3,1,1,0
1,20,5,0,2,0,1,0
0,21,5,0,3,1,0,0
1,22,0,0,4,0,1,1
0,20,1,0,5,0,1,0
0,21,1,0,5,1,0,0
0,20,5,0,6,1,0,0
0,21,0,0,4,0,0,0
0,19,1,0,3,0,1,0
1,28,5,0,3,1,1,0
0,30,0,0,4,1,1,0
0,22,5,0,5,1,1,0
0,19,5,0,4,0,1,0
0,20,0,0,3,0,0,0
1,21,1,0,3,0,0,1
1,19,0,0,4,1,0,0
1,28,1,0,5,1,1,1
1,20,4,0,3,1,0,0
0,29,1,0,3,1,1,0
1,21,5,0,4,1,0,0
1,23,5,0,5,1,1,0
0,18,5,1,5,1,0,0
0,19,1,0,3,1,0,1
1,25,2,1,2,1,0,0
0,21,2,0,3,1,1,0
1,21,3,0,4,0,0,1
1,21,3,0,5,0,0,0
1,21,3,0,4,1,0,0
0,21,3,0,3,0,1,0
0,22,1,0,4,1,0,1
1,21,5,0,5,1,0,0
0,19,0,0,3,1,1,0
1,21,4,0,5,1,1,0
1,25,5,0,5,1,0,0
1,21,1,0,3,1,0,1
1,21,0,1,2,1,0,1
0,27,1,1,3,1,0,0
0,28,5,0,4,1,0,0
1,26,4,0,5,1,0,1
1,28,0,0,1,1,0,0
1,29,1,0,2,1,1,1
1,24,0,0,3,1,0,0
1,23,5,0,4,1,0,0
1,23,1,0,3,1,0,0
0,26,3,1,3,0,1,0
0,21,5,1,4,1,0,0
0,20,5,0,5,1,0,0
1,22,1,1,3,1,0,0
1,23,0,0,2,1,0,0
1,24,4,0,3,1,0,0
0,23,3,0,4,0,1,0
0,19,1,0,5,0,1,1
1,18,5,0,5,1,0,0
0,19,5,0,3,1,0,0
1,22,5,0,5,1,0,0
0,23,1,0,5,1,0,0
0,21,2,0,3,1,0,0
0,23,0,0,2,0,0,0
0,23,3,0,2,1,0,0
0,23,1,0,3,1,0,0
1,26,5,0,4,1,0,0
1,27,3,0,5,0,1,0
1,21,1,0,6,1,0,0
0,22,2,0,3,1,1,0
1,23,5,0,3,1,1,0
0,19,1,1,5,0,1,0
1,19,3,0,5,1,0,0
1,20,1,0,1,1,1,0
1,23,5,0,3,1,1,0
1,23,1,0,3,1,0,0
1,21,0,1,2,0,0,1
0,19,5,0,5,1,0,0
0,22,1,0,4,1,0,0
1,23,2,0,4,1,0,0
1,21,3,0,1,1,0,0
1,25,5,0,4,1,0,0
1,25,2,0,5,1,0,0
1,25,1,1,5,1,0,0
1,22,3,0,4,1,0,1
0,23,5,0,3,1,0,0
0,23,1,0,8,1,0,0
0,19,5,0,2,1,0,1
1,18,1,0,2,0,0,1
1,21,5,0,3,1,0,0
1,23,5,0,4,1,0,0
0,21,5,1,5,1,0,0
1,23,1,0,4,1,1,0
0,23,3,0,3,1,0,0
1,23,2,0,2,1,0,0
0,21,5,0,2,1,0,0
0,18,1,0,3,1,0,0
0,21,1,0,4,1,0,0
0,22,1,0,5,1,0,0
1,23,0,0,6,1,1,0
1,20,0,0,3,1,0,0
0,21,5,0,3,0,0,0
1,22,1,0,2,1,0,0
1,23,2,0,2,1,0,0
1,24,5,0,4,1,0,0
1,21,0,0,7,1,0,0
0,19,1,0,5,1,0,0
1,21,5,0,5,1,0,0
1,22,3,0,5,1,0,0
1,23,1,0,7,1,0,0
1,19,2,0,3,1,0,0
1,21,1,0,3,1,0,0
1,20,1,0,3,0,0,1
1,25,5,1,3,1,0,0
1,21,4,0,3,0,1,1
0,19,1,1,3,0,0,0
0,19,0,0,4,1,1,0
0,19,2,1,3,1,1,1
1,19,0,1,4,0,0,1
0,20,0,0,4,1,1,0
0,18,0,0,8,1,1,0
1,24,5,0,3,1,0,0
1,24,3,0,2,1,0,0
